"","classification_id","user_name","subject_ids","workflow_version","task_index","task","task_label","array.index","choice","answers.HOWMANY","answers.ESTIMATEOFSNOWDEPTHSEETUTORIALORFIELDGUIDE","answers.ANTLERSPRESENT","answers.HOWMANYPEOPLE","answers.WHATTYPEOFHUMAN","workflow_id","id","class.count","round","Imj1","Imj2","Img3","CamNum","SD_card_num","Event"
"20",294090272,"Suem28",52256828,"11.8",1,"T0",NA,1,"SQUIRRELGRAY","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"72972582",6,"R1","C28_SD18_R1_0553.JPG","C28_SD18_R1_0554.JPG","C28_SD18_R1_0555.JPG","28","18","317"
"21",294090338,"Suem28",52258303,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"72973133",5,"R1","C42_SD78_R1_0952.JPG","C42_SD78_R1_0953.JPG","C42_SD78_R1_0954.JPG","42","78","1019"
"22",294090433,"Suem28",52259358,"11.8",1,"T0",NA,1,"RACCOON","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73286391",5,"R1","C47_SD76_R1_0010.JPG","C47_SD76_R1_0011.JPG","C47_SD76_R1_0012.JPG","47","76","1579"
"23",294090533,"Suem28",52256701,"11.8",1,"T0",NA,1,"SQUIRRELGRAY","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73454745",5,"R1","C28_SD18_R1_0355.JPG","C28_SD18_R1_0356.JPG","C28_SD18_R1_0357.JPG","28","18","251"
"24",294145738,"Suem28",52257521,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"72890966",5,"R1","C37_SD6_R1_0346.JPG","C37_SD6_R1_0347.JPG","C37_SD6_R1_0348.JPG","37","6","654"
"25",294145926,"Suem28",52259377,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73455095",5,"R1","C47_SD76_R1_0043.JPG","C47_SD76_R1_0044.JPG","C47_SD76_R1_0045.JPG","47","76","1590"
"26",294146303,"Suem28",52256739,"11.8",1,"T0",NA,1,"OPOSSUM","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73476254",5,"R1","C28_SD18_R1_0424.JPG","C28_SD18_R1_0425.JPG","C28_SD18_R1_0426.JPG","28","18","274"
"27",294146629,"Suem28",52256998,"11.8",1,"T0",NA,1,"OTHERBIRD",NA,NA,NA,NA,NA,16695,"72892381",5,"R1","C28_SD18_R1_0802.JPG","C28_SD18_R1_0803.JPG","C28_SD18_R1_0804.JPG","28","18","400"
"28",294146629,"Suem28",52256998,"11.8",1,"T0",NA,2,"SQUIRRELGRAY","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"72892381",5,"R1","C28_SD18_R1_0802.JPG","C28_SD18_R1_0803.JPG","C28_SD18_R1_0804.JPG","28","18","400"
"29",294417751,"Suem28",52256548,"11.8",1,"T0",NA,1,"SQUIRRELGRAY","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73041582",5,"R1","C28_SD18_R1_0121.JPG","C28_SD18_R1_0122.JPG","C28_SD18_R1_0123.JPG","28","18","173"
"30",294417917,"Suem28",53235388,"11.8",1,"T0",NA,1,"OTHERBIRD",NA,NA,NA,NA,NA,16695,"73999176",5,"beta test","C31_IMG_0142.JPG","C31_IMG_0143.JPG","C31_IMG_0144.JPG","31",NA,"147"
"31",294418179,"Suem28",52256694,"11.8",1,"T0",NA,1,"SQUIRRELGRAY","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73488644",6,"R1","C28_SD18_R1_0340.JPG","C28_SD18_R1_0341.JPG","C28_SD18_R1_0342.JPG","28","18","246"
"32",294418263,"Suem28",52256938,"11.8",1,"T0",NA,1,"SQUIRRELGRAY","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73346710",5,"R1","C28_SD18_R1_0712.JPG","C28_SD18_R1_0713.JPG","C28_SD18_R1_0714.JPG","28","18","370"
"33",294418399,"Suem28",53235390,"11.8",1,"T0",NA,1,"SQUIRRELGRAY","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73999570",7,"beta test","C31_IMG_0148.JPG","C31_IMG_0149.JPG","C31_IMG_0150.JPG","31",NA,"149"
"34",294418747,"Suem28",52257235,"11.8",1,"T0",NA,1,"DOMESTICDOG","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73487875",5,"R1","C34_SD63_R1_IMG_0004.JPG","C34_SD63_R1_IMG_0005.JPG","C34_SD63_R1_IMG_0006.JPG","34","63","509"
"35",294418747,"Suem28",52257235,"11.8",1,"T0",NA,2,"HUMAN",NA,NA,NA,"1","RECREATIONALIST",16695,"73487875",5,"R1","C34_SD63_R1_IMG_0004.JPG","C34_SD63_R1_IMG_0005.JPG","C34_SD63_R1_IMG_0006.JPG","34","63","509"
"36",294436539,"Suem28",52257524,"11.8",1,"T0",NA,1,"OTHERSMALLMAMMAL","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73334263",5,"R1","C37_SD6_R1_0352.JPG","C37_SD6_R1_0353.JPG","C37_SD6_R1_0354.JPG","37","6","656"
"37",294436783,"Suem28",52257153,"11.8",1,"T0",NA,1,"FOXGRAY","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73488366",5,"R1","C31_SD59_R1_IMG_0022.JPG","C31_SD59_R1_IMG_0023.JPG","C31_SD59_R1_IMG_0024.JPG","31","59","472"
"38",294436922,"Suem28",52258304,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73347744",5,"R1","C42_SD78_R1_0955.JPG","C42_SD78_R1_0956.JPG","C42_SD78_R1_0957.JPG","42","78","1020"
"39",294857467,"not-logged-in-711bb896f1fd236cc99d",53235387,"11.8",1,"T0",NA,1,"MINK","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73998567",6,"beta test","C31_IMG_0139.JPG","C31_IMG_0140.JPG","C31_IMG_0141.JPG","31",NA,"146"
"40",294857623,"chalverson22",53235319,"11.8",1,"T0",NA,1,"FOXGRAY","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73998796",5,"beta test","C25_EK000010.JPG","C25_EK000011.JPG","C25_EK000012.JPG","25",NA,"95"
"41",294857717,"chalverson22",53235338,"11.8",1,"T0",NA,1,"BLUEJAY",NA,NA,NA,NA,NA,16695,"73998929",5,"beta test","C31_IMG_0013.JPG","C31_IMG_0014.JPG","C31_IMG_0015.JPG","31",NA,"104"
"42",294857724,"not-logged-in-a962e514db4055ac3cc1",53235193,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73998189",5,"beta test","C13_IMG_0085.JPG","C13_IMG_0086.JPG","C13_IMG_0087.JPG","13",NA,"29"
"43",294857744,"WendiLK",53235152,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73999614",5,"beta test","C13_IMG_0031.JPG","C13_IMG_0032.JPG","C13_IMG_0033.JPG","13",NA,"11"
"44",294857849,"chalverson22",53235415,"11.8",1,"T0",NA,1,"DEERWHITETAILED","23","DUSTING10CM","NO",NA,NA,16695,"73998261",5,"beta test","C31_IMG_0193.JPG","C31_IMG_0194.JPG","C31_IMG_0195.JPG","31",NA,"164"
"45",294857870,"not-logged-in-a962e514db4055ac3cc1",53235411,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73998139",5,"beta test","C31_IMG_0187.JPG","C31_IMG_0188.JPG","C31_IMG_0189.JPG","31",NA,"162"
"46",294858064,"chalverson22",53235309,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73998469",5,"beta test","C23_EK000127.JPG","C23_EK000128.JPG","C23_EK000129.JPG","23",NA,"88"
"47",294858262,"chalverson22",53235213,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73998286",5,"beta test","C13_IMG_0106.JPG","C13_IMG_0107.JPG","C13_IMG_0108.JPG","13",NA,"36"
"48",294858501,"chalverson22",53235361,"11.8",1,"T0",NA,1,"SKUNKSTRIPED","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73999492",5,"beta test","C31_IMG_0061.JPG","C31_IMG_0062.JPG","C31_IMG_0063.JPG","31",NA,"120"
"49",294858601,"not-logged-in-78e4f95ca68ce8aa4769",53235241,"11.8",1,"T0",NA,1,"FOXRED","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73999192",5,"beta test","C23_EK000013.JPG","C23_EK000014.JPG","C23_EK000015.JPG","23",NA,"50"
"50",294858605,"not-logged-in-814fc7b041b8d61802d5",53235319,"11.8",1,"T0",NA,1,"FOXRED","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73998796",5,"beta test","C25_EK000010.JPG","C25_EK000011.JPG","C25_EK000012.JPG","25",NA,"95"
"51",294858679,"chalverson22",53235290,"11.8",1,"T0",NA,1,"SQUIRRELGRAY","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73998095",5,"beta test","C23_EK000094.JPG","C23_EK000095.JPG","C23_EK000096.JPG","23",NA,"77"
"52",294858860,"chalverson22",53235155,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73999170",5,"beta test","C13_IMG_0040.JPG","C13_IMG_0041.JPG","C13_IMG_0042.JPG","13",NA,"14"
"53",294859089,"chalverson22",53235396,"11.8",1,"T0",NA,1,"OTHERSMALLMAMMAL","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73999509",5,"beta test","C31_IMG_0166.JPG","C31_IMG_0167.JPG","C31_IMG_0168.JPG","31",NA,"155"
"54",294859363,"Mulaffarabdullah",53235389,"11.8",1,"T0",NA,1,"BLUEJAY",NA,NA,NA,NA,NA,16695,"73998646",5,"beta test","C31_IMG_0145.JPG","C31_IMG_0146.JPG","C31_IMG_0147.JPG","31",NA,"148"
"55",294859460,"candrac",53235317,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73998726",5,"beta test","C25_EK000004.JPG","C25_EK000005.JPG","C25_EK000006.JPG","25",NA,"93"
"56",294859769,"not-logged-in-a962e514db4055ac3cc1",53235387,"11.8",1,"T0",NA,1,"WEASEL","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73998567",6,"beta test","C31_IMG_0139.JPG","C31_IMG_0140.JPG","C31_IMG_0141.JPG","31",NA,"146"
"57",294859780,"Robinson2491",53235323,"11.8",1,"T0",NA,1,"FOXGRAY","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73999148",5,"beta test","C25_EK000016.JPG","C25_EK000017.JPG","C25_EK000018.JPG","25",NA,"97"
"58",294859885,"not-logged-in-e69d5ca6ce42139f2244",53235388,"11.8",1,"T0",NA,1,"WEASEL","1","1020CM",NA,NA,NA,16695,"73999176",5,"beta test","C31_IMG_0142.JPG","C31_IMG_0143.JPG","C31_IMG_0144.JPG","31",NA,"147"
"59",294859961,"not-logged-in-a962e514db4055ac3cc1",53235179,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73998762",7,"beta test","C13_IMG_0070.JPG","C13_IMG_0071.JPG","C13_IMG_0072.JPG","13",NA,"24"
"60",294860150,"not-logged-in-a962e514db4055ac3cc1",53235316,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73998385",5,"beta test","C25_EK000002.JPG","C25_EK000001.JPG","C25_EK000003.JPG","25",NA,"92"
"61",294860317,"not-logged-in-a962e514db4055ac3cc1",53235307,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73998688",6,"beta test","C23_EK000124.JPG","C23_EK000125.JPG","C23_EK000126.JPG","23",NA,"87"
"62",294860393,"Mulaffarabdullah",53235350,"11.8",1,"T0",NA,1,"RACCOON","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73999583",5,"beta test","C31_IMG_0028.JPG","C31_IMG_0029.JPG","C31_IMG_0030.JPG","31",NA,"109"
"63",294860399,"candrac",53235213,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73998286",5,"beta test","C13_IMG_0106.JPG","C13_IMG_0107.JPG","C13_IMG_0108.JPG","13",NA,"36"
"64",294860559,"candrac",53235276,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73999383",5,"beta test","C23_EK000076.JPG","C23_EK000077.JPG","C23_EK000078.JPG","23",NA,"71"
"65",294860733,"Batfan",53235149,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73998151",5,"beta test","C13_IMG_0022.JPG","C13_IMG_0023.JPG","C13_IMG_0024.JPG","13",NA,"8"
"66",294860815,"candrac",53235361,"11.8",1,"T0",NA,1,"PORCUPINE","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73999492",5,"beta test","C31_IMG_0061.JPG","C31_IMG_0062.JPG","C31_IMG_0063.JPG","31",NA,"120"
"67",294860871,"not-logged-in-fa2e2f282ff8961b1c73",53235221,"11.8",1,"T0",NA,1,"DEERWHITETAILED","23","NOSNOWBAREGROUND","NO",NA,NA,16695,"73998220",5,"beta test","C13_IMG_0115.JPG","C13_IMG_0116.JPG","C13_IMG_0117.JPG","13",NA,"39"
"68",294860996,"Batfan",53235219,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73998278",6,"beta test","C13_IMG_0112.JPG","C13_IMG_0113.JPG","C13_IMG_0114.JPG","13",NA,"38"
"69",294861065,"candrac",53235360,"11.8",1,"T0",NA,1,"CHIPMUNK","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73998122",6,"beta test","C31_IMG_0058.JPG","C31_IMG_0059.JPG","C31_IMG_0060.JPG","31",NA,"119"
"70",294861235,"not-logged-in-a962e514db4055ac3cc1",53235413,"11.8",1,"T0",NA,1,"WEASEL","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73999116",7,"beta test","C31_IMG_0190.JPG","C31_IMG_0191.JPG","C31_IMG_0192.JPG","31",NA,"163"
"71",294861488,"Mulaffarabdullah",53235290,"11.8",1,"T0",NA,1,"CHIPMUNK","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73998095",5,"beta test","C23_EK000094.JPG","C23_EK000095.JPG","C23_EK000096.JPG","23",NA,"77"
"72",294861492,"Batfan",53235356,"11.8",1,"T0",NA,1,"OTHERSMALLMAMMAL","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73999571",6,"beta test","C31_IMG_0046.JPG","C31_IMG_0047.JPG","C31_IMG_0048.JPG","31",NA,"115"
"73",294861568,"not-logged-in-fa2e2f282ff8961b1c73",53235251,"11.8",1,"T0",NA,1,"CHIPMUNK","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73998953",6,"beta test","C23_EK000034.JPG","C23_EK000035.JPG","C23_EK000036.JPG","23",NA,"57"
"74",294861697,"not-logged-in-a962e514db4055ac3cc1",53235361,"11.8",1,"T0",NA,1,"PORCUPINE","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73999492",5,"beta test","C31_IMG_0061.JPG","C31_IMG_0062.JPG","C31_IMG_0063.JPG","31",NA,"120"
"75",294861782,"not-logged-in-fa2e2f282ff8961b1c73",53235384,"11.8",1,"T0",NA,1,"CHIPMUNK","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73998312",5,"beta test","C31_IMG_0130.JPG","C31_IMG_0131.JPG","C31_IMG_0132.JPG","31",NA,"143"
"76",294861822,"Mulaffarabdullah",53235151,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73998257",5,"beta test","C13_IMG_0028.JPG","C13_IMG_0029.JPG","C13_IMG_0030.JPG","13",NA,"10"
"77",294861824,"Batfan",53235222,"11.8",1,"T0",NA,1,"DEERWHITETAILED","23","NOSNOWBAREGROUND","NO",NA,NA,16695,"73999389",6,"beta test","C13_IMG_0118.JPG","C13_IMG_0119.JPG","C13_IMG_0120.JPG","13",NA,"40"
"78",294861973,"Mulaffarabdullah",53235318,"11.8",1,"T0",NA,1,"RACCOON","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73998717",5,"beta test","C25_EK000007.JPG","C25_EK000008.JPG","C25_EK000009.JPG","25",NA,"94"
"79",294862147,"Batfan",53235335,"11.8",1,"T0",NA,1,"OPOSSUM","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73999646",5,"beta test","C31_IMG_0007.JPG","C31_IMG_0008.JPG","C31_IMG_0009.JPG","31",NA,"102"
"80",294862324,"OrleoMarinaro",53235221,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73998220",5,"beta test","C13_IMG_0115.JPG","C13_IMG_0116.JPG","C13_IMG_0117.JPG","13",NA,"39"
"81",294862521,"Batfan",53235161,"11.8",1,"T0",NA,1,"DEERWHITETAILED","23","NOSNOWBAREGROUND","NO",NA,NA,16695,"73998345",6,"beta test","C13_IMG_0052.JPG","C13_IMG_0053.JPG","C13_IMG_0054.JPG","13",NA,"18"
"82",294862612,"OrleoMarinaro",53235417,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","1020CM","NO",NA,NA,16695,"73998430",5,"beta test","C31_IMG_0196.JPG","C31_IMG_0197.JPG","C31_IMG_0198.JPG","31",NA,"165"
"83",294862757,"Batfan",53235351,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73998152",5,"beta test","C31_IMG_0031.JPG","C31_IMG_0032.JPG","C31_IMG_0033.JPG","31",NA,"110"
"84",294862770,"Mulaffarabdullah",53235227,"11.8",1,"T0",NA,1,"WEASEL","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73999631",5,"beta test","C13_IMG_0124.JPG","C13_IMG_0125.JPG","C13_IMG_0126.JPG","13",NA,"42"
"85",294863111,"Mulaffarabdullah",53235395,"11.8",1,"T0",NA,1,"CHIPMUNK","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73999067",5,"beta test","C31_IMG_0163.JPG","C31_IMG_0164.JPG","C31_IMG_0165.JPG","31",NA,"154"
"86",294863124,"Batfan",53235401,"11.8",1,"T0",NA,1,"OTHERBIRD",NA,NA,NA,NA,NA,16695,"73998733",5,"beta test","C31_IMG_0175.JPG","C31_IMG_0176.JPG","C31_IMG_0177.JPG","31",NA,"158"
"87",294863659,"OcularSquirrel",53235396,"11.8",1,"T0",NA,1,"CHIPMUNK","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73999509",5,"beta test","C31_IMG_0166.JPG","C31_IMG_0167.JPG","C31_IMG_0168.JPG","31",NA,"155"
"88",294863702,"not-logged-in-063fbc1354687207d645",53235389,"11.8",1,"T0",NA,1,"BLUEJAY",NA,NA,NA,NA,NA,16695,"73998646",5,"beta test","C31_IMG_0145.JPG","C31_IMG_0146.JPG","C31_IMG_0147.JPG","31",NA,"148"
"89",294863891,"not-logged-in-7e342f4e3a56f0332d31",53235334,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73998093",7,"beta test","C31_IMG_0004.JPG","C31_IMG_0005.JPG","C31_IMG_0006.JPG","31",NA,"101"
"90",294864118,"not-logged-in-063fbc1354687207d645",53235349,"11.8",1,"T0",NA,1,"CHIPMUNK","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73998441",5,"beta test","C31_IMG_0025.JPG","C31_IMG_0026.JPG","C31_IMG_0027.JPG","31",NA,"108"
"91",294864353,"OcularSquirrel",53235378,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73998503",6,"beta test","C31_IMG_0112.JPG","C31_IMG_0113.JPG","C31_IMG_0114.JPG","31",NA,"137"
"92",294864819,"Batfan",53235276,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73999383",5,"beta test","C23_EK000076.JPG","C23_EK000077.JPG","C23_EK000078.JPG","23",NA,"71"
"93",294864948,"not-logged-in-9a904d2264ae57e9d91b",53235418,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","DUSTING10CM","NO",NA,NA,16695,"73998880",6,"beta test","C31_IMG_0199.JPG","C31_IMG_0200.JPG","C31_IMG_0201.JPG","31",NA,"166"
"94",294864964,"Batfan",53235228,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73998820",5,"beta test","C13_IMG_0127.JPG","C13_IMG_0128.JPG","C13_IMG_0129.JPG","13",NA,"43"
"95",294865132,"Dynamoj",53235266,"11.8",1,"T0",NA,1,"CHIPMUNK","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73999661",6,"beta test","C23_EK000058.JPG","C23_EK000059.JPG","C23_EK000060.JPG","23",NA,"65"
"96",294865458,"Batfan",53235317,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73998726",5,"beta test","C25_EK000004.JPG","C25_EK000005.JPG","C25_EK000006.JPG","25",NA,"93"
"97",294865894,"Dynamoj",53235406,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","YES",NA,NA,16695,"73998780",6,"beta test","C31_IMG_0181.JPG","C31_IMG_0182.JPG","C31_IMG_0183.JPG","31",NA,"160"
